Plan,Premium
INDIVIDUAL:41 - 45:1:0:015,13158.03:24342.36:35526.68
INDIVIDUAL:41 - 45:1:0:017,13557.25:25080.9:36604.56
INDIVIDUAL:46 - 50:1:0:001,8540.6:15800.1:23059.61
INDIVIDUAL:46 - 50:1:0:003,9758.8:18053.79:26348.77
INDIVIDUAL:46 - 50:1:0:005,10971.17:20296.66:29622.15
INDIVIDUAL:46 - 50:1:0:007,11687.24:21621.39:31555.54
INDIVIDUAL:46 - 50:1:0:009,13680.05:25308.1:36936.15
INDIVIDUAL:46 - 50:1:0:011,15052.64:27847.39:40642.14
INDIVIDUAL:46 - 50:1:0:013,18504.34:34233.04:49961.73
INDIVIDUAL:46 - 50:1:0:015,19103:35340.55:51578.09
INDIVIDUAL:46 - 50:1:0:017,19669.29:36388.19:53107.09
INDIVIDUAL:51 - 55:1:0:001,9722.29:17986.23:26250.17
INDIVIDUAL:51 - 55:1:0:003,11090.94:20518.24:29945.55
INDIVIDUAL:51 - 55:1:0:005,13207.47:24433.82:35660.17
INDIVIDUAL:51 - 55:1:0:007,14050.84:25994.06:37937.28
INDIVIDUAL:51 - 55:1:0:009,16280.96:30119.78:43958.6
INDIVIDUAL:51 - 55:1:0:011,17847.71:33018.27:48188.82
INDIVIDUAL:51 - 55:1:0:013,22097.62:40880.59:59663.56
INDIVIDUAL:51 - 55:1:0:015,22839.19:42252.51:61665.82
INDIVIDUAL:51 - 55:1:0:017,23509.31:43492.22:63475.13
INDIVIDUAL:56 - 60:1:0:001,12690.39:23477.22:34264.05
INDIVIDUAL:56 - 60:1:0:003,14561.52:26938.81:39316.1
INDIVIDUAL:56 - 60:1:0:005,16494:30513.9:44533.8
INDIVIDUAL:56 - 60:1:0:007,17525.46:32422.11:47318.75
INDIVIDUAL:56 - 60:1:0:009,20102.1:37188.89:54275.68
INDIVIDUAL:56 - 60:1:0:011,21956.04:40618.68:59281.32
INDIVIDUAL:56 - 60:1:0:013,27378.99:50651.12:73923.26
INDIVIDUAL:56 - 60:1:0:015,28332.25:52414.66:76497.07
INDIVIDUAL:56 - 60:1:0:017,29156.07:53938.73:78721.39
INDIVIDUAL:61 - 65:1:0:001,17509.17:32391.97:47274.76
INDIVIDUAL:61 - 65:1:0:003,20770.87:38426.11:56081.35
INDIVIDUAL:61 - 65:1:0:005,23686.39:43819.82:63953.24
INDIVIDUAL:61 - 65:1:0:007,21357.05:39510.55:57664.04
INDIVIDUAL:61 - 65:1:0:009,24193.58:44758.12:65322.67
INDIVIDUAL:61 - 65:1:0:011,26302.35:48659.35:71016.35
INDIVIDUAL:61 - 65:1:0:013,33093.98:61223.85:89353.73
INDIVIDUAL:61 - 65:1:0:015,34297.35:63450.1:92602.85
INDIVIDUAL:61 - 65:1:0:017,35280.68:65269.26:95257.84
INDIVIDUAL:66 - 70:1:0:001,25848.19:47819.16:69790.12
INDIVIDUAL:66 - 70:1:0:003,33359.01:61714.17:90069.33
INDIVIDUAL:66 - 70:1:0:005,38256.67:70774.84:103293.01
INDIVIDUAL:66 - 70:1:0:007,34447.49:63727.85:93008.21
INDIVIDUAL:66 - 70:1:0:009,38592.83:71396.73:104200.64
INDIVIDUAL:66 - 70:1:0:011,41782.35:77297.34:112812.34
INDIVIDUAL:66 - 70:1:0:013,52994.37:98039.58:143084.8
INDIVIDUAL:66 - 70:1:0:015,54994.26:101739.39:148484.52
INDIVIDUAL:66 - 70:1:0:017,56554.07:104625.03:152695.99
INDIVIDUAL:71 - 75:1:0:001,32362.83:59871.23:87379.63
INDIVIDUAL:71 - 75:1:0:003,43453.77:80389.47:117325.18
INDIVIDUAL:71 - 75:1:0:005,49899.75:92314.54:134729.33
INDIVIDUAL:71 - 75:1:0:007,44907.69:83079.22:121250.75
INDIVIDUAL:71 - 75:1:0:009,50098.25:92681.75:135265.26
INDIVIDUAL:71 - 75:1:0:011,54151.9:100181.02:146210.14
INDIVIDUAL:71 - 75:1:0:013,68893.83:127453.58:186013.33
INDIVIDUAL:71 - 75:1:0:015,71532.08:132334.36:193136.63
INDIVIDUAL:71 - 75:1:0:017,73550.32:136068.09:198585.86
INDIVIDUAL:76 - 99:1:0:001,38366.22:70977.51:103588.8
INDIVIDUAL:76 - 99:1:0:003,53392.24:98775.64:144159.04
INDIVIDUAL:76 - 99:1:0:005,61360.25:113516.45:165672.66
INDIVIDUAL:76 - 99:1:0:007,55205.14:102129.51:149053.88
INDIVIDUAL:76 - 99:1:0:009,61423.73:113633.9:165844.07
INDIVIDUAL:76 - 99:1:0:011,66327.77:122706.38:179084.98
INDIVIDUAL:76 - 99:1:0:013,84548.02:156413.84:228279.66
INDIVIDUAL:76 - 99:1:0:015,87812.04:162452.27:237092.5
INDIVIDUAL:76 - 99:1:0:017,90282.97:167023.49:243764.01
FAMILYFLOATER:18 - 24:2:0:002,4206:7782:11357
FAMILYFLOATER:18 - 24:2:0:004,4622:8551:12480
FAMILYFLOATER:18 - 24:2:0:006,4992:9235:13480
FAMILYFLOATER:18 - 24:2:0:008,5721:10584:15447
FAMILYFLOATER:18 - 24:2:0:010,7049:13041:19032
FAMILYFLOATER:18 - 24:2:0:012,8361:15468:22575
FAMILYFLOATER:18 - 24:2:0:014,11535:21339:31143
FAMILYFLOATER:18 - 24:2:0:016,11741:21723:31703
FAMILYFLOATER:18 - 24:2:0:018,"12,065:22,320:32,574"
FAMILYFLOATER:18 - 24:2:1:002,4339:8028:11716
FAMILYFLOATER:18 - 24:2:1:004,4951:9160:13367
FAMILYFLOATER:18 - 24:2:1:006,5532:10234:14936
FAMILYFLOATER:18 - 24:2:1:008,6082:11251:16420
FAMILYFLOATER:18 - 24:2:1:010,7417:13723:20027
FAMILYFLOATER:18 - 24:2:1:012,8737:16163:23591
FAMILYFLOATER:18 - 24:2:1:014,11262:20835:30407
FAMILYFLOATER:18 - 24:2:1:016,12016:22230:32445
FAMILYFLOATER:18 - 24:2:1:018,"12,956:23,968:34,980"
FAMILYFLOATER:18 - 24:3:1:002,5903:10921:15938
FAMILYFLOATER:18 - 24:3:1:004,6660:12322:17983
FAMILYFLOATER:18 - 24:3:1:006,7373:13639:19907
FAMILYFLOATER:18 - 24:3:1:008,8369:15481:22594
FAMILYFLOATER:18 - 24:3:1:010,10319:19091:27862
FAMILYFLOATER:18 - 24:3:1:012,12253:22668:33083
FAMILYFLOATER:18 - 24:3:1:014,16147:29871:43595
FAMILYFLOATER:18 - 24:3:1:016,16975:31405:45834
FAMILYFLOATER:18 - 24:3:1:018,"18,005:33,309:48,613"
FAMILYFLOATER:18 - 24:3:2:002,"5,999:11,099:16,198"
FAMILYFLOATER:18 - 24:3:2:004,"6,752:12,492:18,232"
FAMILYFLOATER:18 - 24:3:2:006,"7,678:14,202:20,728"
FAMILYFLOATER:18 - 24:3:2:008,"8,162:15,100:22,039"
FAMILYFLOATER:18 - 24:3:2:010,"10,121:18,724:27,327"
FAMILYFLOATER:18 - 24:3:2:012,"12,065:22,320:32,577"
FAMILYFLOATER:18 - 24:3:2:014,"15,337:28,375:41,411"
FAMILYFLOATER:18 - 24:3:2:016,"16,715:30,922:45,130"
FAMILYFLOATER:18 - 24:3:2:018,"18,387:34,015:49,643"
FAMILYFLOATER:18 - 24:4:2:002,7464:13808:20153
FAMILYFLOATER:18 - 24:4:2:004,8363:15472:22579
FAMILYFLOATER:18 - 24:4:2:006,9416:17420:25424
FAMILYFLOATER:18 - 24:4:2:008,10398:19237:28076
FAMILYFLOATER:18 - 24:4:2:010,12971:23997:35022
FAMILYFLOATER:18 - 24:4:2:012,15528:28727:41925
FAMILYFLOATER:18 - 24:4:2:014,20141:37261:54382
FAMILYFLOATER:18 - 24:4:2:016,21590:39941:58292
FAMILYFLOATER:18 - 24:4:2:018,"23,326:43,153:62,981"
FAMILYFLOATER:18 - 24:4:3:002,"7,212:13,342:19,471"
FAMILYFLOATER:18 - 24:4:3:004,"8,100:14,986:21,870"
FAMILYFLOATER:18 - 24:4:3:006,"9,362:17,321:25,279"
FAMILYFLOATER:18 - 24:4:3:008,"10,016:18,528:27,041"
FAMILYFLOATER:18 - 24:4:3:010,"12,594:23,299:34,004"
FAMILYFLOATER:18 - 24:4:3:012,"15,154:28,035:40,915"
FAMILYFLOATER:18 - 24:4:3:014,"19,045:35,235:51,424"
FAMILYFLOATER:18 - 24:4:3:016,"21,041:38,926:56,811"
FAMILYFLOATER:18 - 24:4:3:018,"23,328:43,156:62,985"
FAMILYFLOATER:18 - 24:5:4:002,"8,425:15,587:22,748"
FAMILYFLOATER:18 - 24:5:4:004,"9,449:17,479:25,511"
FAMILYFLOATER:18 - 24:5:4:006,"11,048:20,438:29,830"
FAMILYFLOATER:18 - 24:5:4:008,"11,869:21,957:32,045"
FAMILYFLOATER:18 - 24:5:4:010,"15,066:27,871:40,677"
FAMILYFLOATER:18 - 24:5:4:012,"18,244:33,749:49,256"
FAMILYFLOATER:18 - 24:5:4:014,"22,754:42,095:61,436"
FAMILYFLOATER:18 - 24:5:4:016,"25,367:46,929:68,490"
FAMILYFLOATER:18 - 24:5:4:018,"28,271:52,301:76,331"
FAMILYFLOATER:18 - 24:5:3:002,"8,676:16,050:23,425"
FAMILYFLOATER:18 - 24:5:3:004,"9,709:17,963:26,215"
FAMILYFLOATER:18 - 24:5:3:006,"11,101:20,538:29,974"
FAMILYFLOATER:18 - 24:5:3:008,"12,252:22,667:33,080"
FAMILYFLOATER:18 - 24:5:3:010,"15,444:28,571:41,699"
FAMILYFLOATER:18 - 24:5:3:012,"18,616:34,441:50,266"
FAMILYFLOATER:18 - 24:5:3:014,"23,849:44,121:64,393"
FAMILYFLOATER:18 - 24:5:3:016,"25,917:47,946:69,975"
FAMILYFLOATER:18 - 24:5:3:018,"28,268:52,296:76,325"
FAMILYFLOATER:18 - 24:6:4:002,"9,889:18,295:26,701"
FAMILYFLOATER:18 - 24:6:4:004,"11,058:20,458:29,856"
FAMILYFLOATER:18 - 24:6:4:006,"12,787:23,656:34,525"
FAMILYFLOATER:18 - 24:6:4:008,"14,105:26,095:38,085"
FAMILYFLOATER:18 - 24:6:4:010,"17,916:33,144:48,371"
FAMILYFLOATER:18 - 24:6:4:012,"21,706:40,157:58,607"
FAMILYFLOATER:18 - 24:6:4:014,"27,557:50,981:74,404"
FAMILYFLOATER:18 - 24:6:4:016,"30,242:55,949:81,655"
FAMILYFLOATER:18 - 24:6:4:018,"33,211:61,442:89,671"
FAMILYFLOATER:25 - 35:2:0:002,6174:11422:16669
FAMILYFLOATER:25 - 35:2:0:004,6926:12814:18702
FAMILYFLOATER:25 - 35:2:0:006,7703:14251:20798
FAMILYFLOATER:25 - 35:2:0:008,8568:15850:23132
FAMILYFLOATER:25 - 35:2:0:010,10178:18830:27481
FAMILYFLOATER:25 - 35:2:0:012,11726:21693:31660
FAMILYFLOATER:25 - 35:2:0:014,15861:29344:42825
FAMILYFLOATER:25 - 35:2:0:016,16242:30047:43852
FAMILYFLOATER:25 - 35:2:0:018,"16,689:30,876:45,062"
FAMILYFLOATER:25 - 35:2:1:002,5672:10493:15314
FAMILYFLOATER:25 - 35:2:1:004,6511:12047:17581
FAMILYFLOATER:25 - 35:2:1:006,7367:13630:19891
FAMILYFLOATER:25 - 35:2:1:008,8010:14818:21627
FAMILYFLOATER:25 - 35:2:1:010,9538:17645:25753
FAMILYFLOATER:25 - 35:2:1:012,11017:20380:29744
FAMILYFLOATER:25 - 35:2:1:014,14193:26257:38321
FAMILYFLOATER:25 - 35:2:1:016,15063:27866:40670
FAMILYFLOATER:25 - 35:2:1:018,"16,089:29,764:43,440"
FAMILYFLOATER:25 - 35:3:1:002,7922:14656:21390
FAMILYFLOATER:25 - 35:3:1:004,9028:16702:24376
FAMILYFLOATER:25 - 35:3:1:006,10156:18787:27419
FAMILYFLOATER:25 - 35:3:1:008,11292:20888:30485
FAMILYFLOATER:25 - 35:3:1:010,13533:25037:36541
FAMILYFLOATER:25 - 35:3:1:012,15709:29062:42415
FAMILYFLOATER:25 - 35:3:1:014,20591:38093:55595
FAMILYFLOATER:25 - 35:3:1:016,21594:39948:58302
FAMILYFLOATER:25 - 35:3:1:018,"22,754:42,094:61,434"
FAMILYFLOATER:25 - 35:3:2:002,"7,399:13,688:19,978"
FAMILYFLOATER:25 - 35:3:2:004,"8,395:15,532:22,667"
FAMILYFLOATER:25 - 35:3:2:006,"9,607:17,772:25,938"
FAMILYFLOATER:25 - 35:3:2:008,"10,187:18,846:27,506"
FAMILYFLOATER:25 - 35:3:2:010,"12,350:22,846:33,343"
FAMILYFLOATER:25 - 35:3:2:012,"14,461:26,752:39,043"
FAMILYFLOATER:25 - 35:3:2:014,"18,417:34,073:49,728"
FAMILYFLOATER:25 - 35:3:2:016,"19,916:36,843:53,772"
FAMILYFLOATER:25 - 35:3:2:018,"21,678:40,104:58,530"
FAMILYFLOATER:25 - 35:4:2:002,9536:17644:25750
FAMILYFLOATER:25 - 35:4:2:004,10792:19963:29136
FAMILYFLOATER:25 - 35:4:2:006,12271:22703:33133
FAMILYFLOATER:25 - 35:4:2:008,13398:24786:36175
FAMILYFLOATER:25 - 35:4:2:010,16270:30099:43927
FAMILYFLOATER:25 - 35:4:2:012,19073:35285:51498
FAMILYFLOATER:25 - 35:4:2:014,24701:45696:66692
FAMILYFLOATER:25 - 35:4:2:016,26329:48709:71089
FAMILYFLOATER:25 - 35:4:2:018,"28,200:52,169:76,138"
FAMILYFLOATER:25 - 35:4:3:002,"8,614:15,935:23,256"
FAMILYFLOATER:25 - 35:4:3:004,"9,742:18,023:26,304"
FAMILYFLOATER:25 - 35:4:3:006,"11,291:20,890:30,487"
FAMILYFLOATER:25 - 35:4:3:008,"12,041:22,275:32,509"
FAMILYFLOATER:25 - 35:4:3:010,"14,821:27,419:40,017"
FAMILYFLOATER:25 - 35:4:3:012,"17,548:32,464:47,380"
FAMILYFLOATER:25 - 35:4:3:014,"22,124:40,931:59,737"
FAMILYFLOATER:25 - 35:4:3:016,"24,242:44,848:65,454"
FAMILYFLOATER:25 - 35:4:3:018,"26,619:49,245:71,871"
FAMILYFLOATER:25 - 35:5:4:002,"9,827:18,180:26,533"
FAMILYFLOATER:25 - 35:5:4:004,"11,090:20,518:29,944"
FAMILYFLOATER:25 - 35:5:4:006,"12,977:24,007:35,038"
FAMILYFLOATER:25 - 35:5:4:008,"13,894:25,704:37,514"
FAMILYFLOATER:25 - 35:5:4:010,"17,292:31,991:46,690"
FAMILYFLOATER:25 - 35:5:4:012,"20,638:38,180:55,722"
FAMILYFLOATER:25 - 35:5:4:014,"25,832:47,791:69,749"
FAMILYFLOATER:25 - 35:5:4:016,"28,568:52,852:77,135"
FAMILYFLOATER:25 - 35:5:4:018,"31,562:58,389:85,217"
FAMILYFLOATER:25 - 35:5:3:002,"10,750:19,888:29,026"
FAMILYFLOATER:25 - 35:5:3:004,"12,139:22,457:32,774"
FAMILYFLOATER:25 - 35:5:3:006,"13,957:25,820:37,684"
FAMILYFLOATER:25 - 35:5:3:008,"15,250:28,214:41,176"
FAMILYFLOATER:25 - 35:5:3:010,"18,741:34,671:50,601"
FAMILYFLOATER:25 - 35:5:3:012,"22,162:41,000:59,838"
FAMILYFLOATER:25 - 35:5:3:014,"28,408:52,554:76,700"
FAMILYFLOATER:25 - 35:5:3:016,"30,656:56,714:82,772"
FAMILYFLOATER:25 - 35:5:3:018,"33,141:61,310:89,480"
FAMILYFLOATER:25 - 35:6:4:002,"11,964:22,133:32,302"
FAMILYFLOATER:25 - 35:6:4:004,"13,487:24,952:36,415"
FAMILYFLOATER:25 - 35:6:4:006,"15,642:28,938:42,234"
FAMILYFLOATER:25 - 35:6:4:008,"17,104:31,643:46,181"
FAMILYFLOATER:25 - 35:6:4:010,"21,212:39,244:57,274"
FAMILYFLOATER:25 - 35:6:4:012,"25,252:46,716:68,179"
FAMILYFLOATER:25 - 35:6:4:014,"32,116:59,413:86,712"
FAMILYFLOATER:25 - 35:6:4:016,"34,982:64,717:94,452"
FAMILYFLOATER:25 - 35:6:4:018,"38,084:70,455:102,827"
FAMILYFLOATER:36 - 40:2:0:002,6408:11855:17302
FAMILYFLOATER:36 - 40:2:0:004,7214:13346:19478
FAMILYFLOATER:36 - 40:2:0:006,8033:14860:21688
FAMILYFLOATER:36 - 40:2:0:008,8911:16486:24061
FAMILYFLOATER:36 - 40:2:0:010,10560:19535:28511
FAMILYFLOATER:36 - 40:2:0:012,12133:22447:32759
FAMILYFLOATER:36 - 40:2:0:014,16386:30314:44242
FAMILYFLOATER:36 - 40:2:0:016,16788:31057:45328
FAMILYFLOATER:36 - 40:2:0:018,"17,249:31,910:46,572"
FAMILYFLOATER:36 - 40:2:1:002,5828:10783:15737
FAMILYFLOATER:36 - 40:2:1:004,6703:12402:18100
FAMILYFLOATER:36 - 40:2:1:006,7589:14039:20489
FAMILYFLOATER:36 - 40:2:1:008,8240:15244:22248
FAMILYFLOATER:36 - 40:2:1:010,9792:18116:26440
FAMILYFLOATER:36 - 40:2:1:012,11288:20884:30479
FAMILYFLOATER:36 - 40:2:1:014,14543:26904:39265
FAMILYFLOATER:36 - 40:2:1:016,15430:28545:41660
FAMILYFLOATER:36 - 40:2:1:018,"16,460:30,452:44,444"
FAMILYFLOATER:36 - 40:3:1:002,8161:15098:22037
FAMILYFLOATER:36 - 40:3:1:004,9319:17242:25164
FAMILYFLOATER:36 - 40:3:1:006,10493:19411:28330
FAMILYFLOATER:36 - 40:3:1:008,11642:21539:31435
FAMILYFLOATER:36 - 40:3:1:010,13923:25757:37590
FAMILYFLOATER:36 - 40:3:1:012,16124:29829:43534
FAMILYFLOATER:36 - 40:3:1:014,21126:39082:57038
FAMILYFLOATER:36 - 40:3:1:016,22153:40982:59811
FAMILYFLOATER:36 - 40:3:1:018,"23,322:43,146:62,971"
FAMILYFLOATER:36 - 40:3:2:002,"7,562:13,991:20,419"
FAMILYFLOATER:36 - 40:3:2:004,"8,594:15,899:23,203"
FAMILYFLOATER:36 - 40:3:2:006,"9,836:18,197:26,557"
FAMILYFLOATER:36 - 40:3:2:008,"10,427:19,290:28,152"
FAMILYFLOATER:36 - 40:3:2:010,"12,615:23,338:34,060"
FAMILYFLOATER:36 - 40:3:2:012,"14,741:27,271:39,801"
FAMILYFLOATER:36 - 40:3:2:014,"18,783:34,747:50,712"
FAMILYFLOATER:36 - 40:3:2:016,"20,296:37,547:54,799"
FAMILYFLOATER:36 - 40:3:2:018,"22,063:40,817:59,571"
FAMILYFLOATER:36 - 40:4:2:002,9780:18094:26407
FAMILYFLOATER:36 - 40:4:2:004,11089:20515:29942
FAMILYFLOATER:36 - 40:4:2:006,12616:23339:34062
FAMILYFLOATER:36 - 40:4:2:008,13756:25449:37140
FAMILYFLOATER:36 - 40:4:2:010,16666:30832:44998
FAMILYFLOATER:36 - 40:4:2:012,19496:36068:52639
FAMILYFLOATER:36 - 40:4:2:014,25245:46704:68162
FAMILYFLOATER:36 - 40:4:2:016,26899:49763:72628
FAMILYFLOATER:36 - 40:4:2:018,"28,778:53,240:77,701"
FAMILYFLOATER:36 - 40:4:3:002,"8,776:16,235:23,694"
FAMILYFLOATER:36 - 40:4:3:004,"9,941:18,390:26,840"
FAMILYFLOATER:36 - 40:4:3:006,"11,520:21,312:31,104"
FAMILYFLOATER:36 - 40:4:3:008,"12,279:22,716:33,154"
FAMILYFLOATER:36 - 40:4:3:010,"15,084:27,907:40,729"
FAMILYFLOATER:36 - 40:4:3:012,"17,831:32,987:48,143"
FAMILYFLOATER:36 - 40:4:3:014,"22,488:41,603:60,718"
FAMILYFLOATER:36 - 40:4:3:016,"24,620:45,548:66,476"
FAMILYFLOATER:36 - 40:4:3:018,"27,007:49,963:72,919"
FAMILYFLOATER:36 - 40:5:4:002,"9,989:18,480:26,970"
FAMILYFLOATER:36 - 40:5:4:004,"11,290:20,885:30,480"
FAMILYFLOATER:36 - 40:5:4:006,"13,206:24,431:35,654"
FAMILYFLOATER:36 - 40:5:4:008,"14,133:26,145:38,158"
FAMILYFLOATER:36 - 40:5:4:010,"17,556:32,479:47,401"
FAMILYFLOATER:36 - 40:5:4:012,"20,920:38,702:56,484"
FAMILYFLOATER:36 - 40:5:4:014,"26,197:48,464:70,730"
FAMILYFLOATER:36 - 40:5:4:016,"28,947:53,551:78,156"
FAMILYFLOATER:36 - 40:5:4:018,"31,951:59,109:86,265"
FAMILYFLOATER:36 - 40:5:3:002,"10,993:20,336:29,681"
FAMILYFLOATER:36 - 40:5:3:004,"12,437:23,009:33,580"
FAMILYFLOATER:36 - 40:5:3:006,"14,299:26,454:38,609"
FAMILYFLOATER:36 - 40:5:3:008,"15,608:28,875:42,142"
FAMILYFLOATER:36 - 40:5:3:010,"19,136:35,401:51,667"
FAMILYFLOATER:36 - 40:5:3:012,"22,585:41,782:60,980"
FAMILYFLOATER:36 - 40:5:3:014,"28,952:53,561:78,170"
FAMILYFLOATER:36 - 40:5:3:016,"31,224:57,763:84,303"
FAMILYFLOATER:36 - 40:5:3:018,"33,723:62,388:91,051"
FAMILYFLOATER:36 - 40:6:4:002,"12,206:22,582:32,958"
FAMILYFLOATER:36 - 40:6:4:004,"13,786:25,502:37,220"
FAMILYFLOATER:36 - 40:6:4:006,"15,985:29,573:43,160"
FAMILYFLOATER:36 - 40:6:4:008,"17,461:32,304:47,147"
FAMILYFLOATER:36 - 40:6:4:010,"21,607:39,974:58,340"
FAMILYFLOATER:36 - 40:6:4:012,"25,675:47,498:69,322"
FAMILYFLOATER:36 - 40:6:4:014,"32,660:60,421:88,182"
FAMILYFLOATER:36 - 40:6:4:016,"35,550:65,766:95,983"
FAMILYFLOATER:36 - 40:6:4:018,"38,666:71,532:104,399"
FAMILYFLOATER:41 - 45:2:0:002,7920:14651:21383
FAMILYFLOATER:41 - 45:2:0:004,8968:16590:24212
FAMILYFLOATER:41 - 45:2:0:006,10090:18665:27241
FAMILYFLOATER:41 - 45:2:0:008,11070:20481:29891
FAMILYFLOATER:41 - 45:2:0:010,12934:23928:34922
FAMILYFLOATER:41 - 45:2:0:012,14688:27174:39659
FAMILYFLOATER:41 - 45:2:0:014,19669:36388:53106
FAMILYFLOATER:41 - 45:2:0:016,20202:37374:54545
FAMILYFLOATER:41 - 45:2:0:018,"20,758:38,402:56,046"
FAMILYFLOATER:41 - 45:2:1:002,6874:12716:18558
FAMILYFLOATER:41 - 45:2:1:004,7918:14647:21377
FAMILYFLOATER:41 - 45:2:1:006,9010:16669:24328
FAMILYFLOATER:41 - 45:2:1:008,9734:18007:26280
FAMILYFLOATER:41 - 45:2:1:010,11435:21153:30873
FAMILYFLOATER:41 - 45:2:1:012,13057:24155:35254
FAMILYFLOATER:41 - 45:2:1:014,16814:31106:45398
FAMILYFLOATER:41 - 45:2:1:016,17791:32914:48036
FAMILYFLOATER:41 - 45:2:1:018,"18,889:34,945:51,000"
FAMILYFLOATER:41 - 45:3:1:002,9731:18002:26274
FAMILYFLOATER:41 - 45:3:1:004,11142:20612:30083
FAMILYFLOATER:41 - 45:3:1:006,12626:23358:34091
FAMILYFLOATER:41 - 45:3:1:008,13885:25687:37489
FAMILYFLOATER:41 - 45:3:1:010,16386:30314:44241
FAMILYFLOATER:41 - 45:3:1:012,18777:34737:50697
FAMILYFLOATER:41 - 45:3:1:014,24532:45384:66235
FAMILYFLOATER:41 - 45:3:1:016,25696:47538:69380
FAMILYFLOATER:41 - 45:3:1:018,"26,967:49,887:72,809"
FAMILYFLOATER:41 - 45:3:2:002,"8,683:16,063:23,444"
FAMILYFLOATER:41 - 45:3:2:004,"9,894:18,304:26,713"
FAMILYFLOATER:41 - 45:3:2:006,"11,359:21,014:30,670"
FAMILYFLOATER:41 - 45:3:2:008,"12,027:22,250:32,473"
FAMILYFLOATER:41 - 45:3:2:010,"14,372:26,587:38,803"
FAMILYFLOATER:41 - 45:3:2:012,"16,635:30,776:44,916"
FAMILYFLOATER:41 - 45:3:2:014,"21,211:39,241:57,272"
FAMILYFLOATER:41 - 45:3:2:016,"22,824:42,225:61,625"
FAMILYFLOATER:41 - 45:3:2:018,"24,664:45,629:66,594"
FAMILYFLOATER:41 - 45:4:2:002,11406:21102:30798
FAMILYFLOATER:41 - 45:4:2:004,12708:23510:34310
FAMILYFLOATER:41 - 45:4:2:006,14827:27431:40034
FAMILYFLOATER:41 - 45:4:2:008,16080:29747:43415
FAMILYFLOATER:41 - 45:4:2:010,19219:35555:51893
FAMILYFLOATER:41 - 45:4:2:012,22246:41157:60067
FAMILYFLOATER:41 - 45:4:2:014,28778:53239:77700
FAMILYFLOATER:41 - 45:4:2:016,30572:56560:82546
FAMILYFLOATER:41 - 45:4:2:018,"32,556:60,228:87,900"
FAMILYFLOATER:41 - 45:4:3:002,"9,896:18,308:26,720"
FAMILYFLOATER:41 - 45:4:3:004,"11,242:20,797:30,353"
FAMILYFLOATER:41 - 45:4:3:006,"13,044:24,131:35,218"
FAMILYFLOATER:41 - 45:4:3:008,"13,880:25,676:37,474"
FAMILYFLOATER:41 - 45:4:3:010,"16,844:31,162:45,480"
FAMILYFLOATER:41 - 45:4:3:012,"19,723:36,488:53,253"
FAMILYFLOATER:41 - 45:4:3:014,"24,921:46,103:67,287"
FAMILYFLOATER:41 - 45:4:3:016,"27,150:50,228:73,306"
