Plan,Premium
INDIVIDUAL:51 - 55:1:0:022,"275,209 : 509,137 : 743,064"
INDIVIDUAL:51 - 55:1:0:023,"365,425 : 676,036 : 986,648"
INDIVIDUAL:56 - 60:1:0:005,"30,571 : 56,556 : 82,541"
INDIVIDUAL:56 - 60:1:0:010,"58,118 : 107,519 : 156,919"
INDIVIDUAL:56 - 60:1:0:011,"88,588 : 163,888 : 239,188"
INDIVIDUAL:56 - 60:1:0:012,"116,136 : 214,852 : 313,568"
INDIVIDUAL:56 - 60:1:0:014,"171,232 : 316,779 : 462,327"
INDIVIDUAL:56 - 60:1:0:018,"281,425 : 520,636 : 759,847"
INDIVIDUAL:56 - 60:1:0:022,"422,087 : 780,861 : 1,139,635"
INDIVIDUAL:56 - 60:1:0:023,"559,828 : 1,035,682 : 1,511,536"
INDIVIDUAL:61 - 65:1:0:005,"43,543 : 80,554 : 117,566"
INDIVIDUAL:61 - 65:1:0:010,"84,015 : 155,428 : 226,840"
INDIVIDUAL:61 - 65:1:0:011,"127,408 : 235,705 : 344,003"
INDIVIDUAL:61 - 65:1:0:012,"167,882 : 310,581 : 453,280"
INDIVIDUAL:61 - 65:1:0:014,"248,826 : 460,328 : 671,829"
INDIVIDUAL:61 - 65:1:0:018,"410,716 : 759,825 : 1,108,934"
INDIVIDUAL:61 - 65:1:0:022,"616,000 : 1,139,600 : 1,663,201"
INDIVIDUAL:61 - 65:1:0:023,"818,363 : 1,513,971 : 2,209,580"
