Plan,Premium
FAMILYFLOATER:18 - 24:3:2:006,6398:11835:17273
FAMILYFLOATER:18 - 24:3:2:008,7420:13727:20035
FAMILYFLOATER:18 - 24:3:2:010,9201:17022:24843
FAMILYFLOATER:18 - 24:3:2:012,10968:20291:29615
FAMILYFLOATER:18 - 24:3:2:014,13943:25795:37646
FAMILYFLOATER:18 - 24:3:2:016,15195:28111:41027
FAMILYFLOATER:18 - 24:3:2:018,16715:30923:45130
FAMILYFLOATER:18 - 24:3:2:020,20879:38626:56373
FAMILYFLOATER:18 - 24:3:2:022,22548:41713:60879
FAMILYFLOATER:18 - 24:4:2:002,6220:11507:16794
FAMILYFLOATER:18 - 24:4:2:004,6969:12893:18816
FAMILYFLOATER:18 - 24:4:2:006,7847:14517:21187
FAMILYFLOATER:18 - 24:4:2:008,9453:17488:25524
FAMILYFLOATER:18 - 24:4:2:010,11792:21815:31838
FAMILYFLOATER:18 - 24:4:2:012,14116:26115:38114
FAMILYFLOATER:18 - 24:4:2:014,18310:33874:49438
FAMILYFLOATER:18 - 24:4:2:016,19627:36310:52993
FAMILYFLOATER:18 - 24:4:2:018,21205:39230:57255
FAMILYFLOATER:18 - 24:4:2:020,26658:49318:71977
FAMILYFLOATER:18 - 24:4:2:022,28553:52823:77093
FAMILYFLOATER:18 - 24:4:3:002,6010:11118:16226
FAMILYFLOATER:18 - 24:4:3:004,6750:12488:18225
FAMILYFLOATER:18 - 24:4:3:006,7802:14434:21066
FAMILYFLOATER:18 - 24:4:3:008,9105:16844:24583
FAMILYFLOATER:18 - 24:4:3:010,11449:21181:30913
FAMILYFLOATER:18 - 24:4:3:012,13776:25486:37195
FAMILYFLOATER:18 - 24:4:3:014,17314:32032:46749
FAMILYFLOATER:18 - 24:4:3:016,19128:35387:51646
FAMILYFLOATER:18 - 24:4:3:018,21207:39233:57259
FAMILYFLOATER:18 - 24:4:3:020,25933:47977:70020
FAMILYFLOATER:18 - 24:4:3:022,28166:52106:76047
FAMILYFLOATER:18 - 24:5:4:002,7021:12989:18957
FAMILYFLOATER:18 - 24:5:4:004,7874:14566:21259
FAMILYFLOATER:18 - 24:5:4:006,9207:17032:24858
FAMILYFLOATER:18 - 24:5:4:008,10790:19961:29132
FAMILYFLOATER:18 - 24:5:4:010,13696:25337:36979
FAMILYFLOATER:18 - 24:5:4:012,16585:30681:44778
FAMILYFLOATER:18 - 24:5:4:014,20685:38268:55851
FAMILYFLOATER:18 - 24:5:4:016,23061:42663:62264
FAMILYFLOATER:18 - 24:5:4:018,25701:47546:69392
FAMILYFLOATER:18 - 24:5:4:020,30989:57329:83670
FAMILYFLOATER:18 - 24:5:4:022,33783:62498:91214
FAMILYFLOATER:18 - 24:5:3:002,7230:13375:19521
FAMILYFLOATER:18 - 24:5:3:004,8091:14969:21846
FAMILYFLOATER:18 - 24:5:3:006,9251:17115:24978
FAMILYFLOATER:18 - 24:5:3:008,11138:20606:30073
FAMILYFLOATER:18 - 24:5:3:010,14040:25974:37908
FAMILYFLOATER:18 - 24:5:3:012,16924:31310:45696
FAMILYFLOATER:18 - 24:5:3:014,21681:40110:58539
FAMILYFLOATER:18 - 24:5:3:016,23561:43587:63614
FAMILYFLOATER:18 - 24:5:3:018,25698:47542:69386
FAMILYFLOATER:18 - 24:5:3:020,31713:58669:85625
FAMILYFLOATER:18 - 24:5:3:022,34171:63217:92263
FAMILYFLOATER:18 - 24:6:4:002,8241:15246:22251
FAMILYFLOATER:18 - 24:6:4:004,9215:17048:24880
FAMILYFLOATER:18 - 24:6:4:006,10656:19713:28771
FAMILYFLOATER:18 - 24:6:4:008,12823:23723:34623
FAMILYFLOATER:18 - 24:6:4:010,16287:30131:43974
FAMILYFLOATER:18 - 24:6:4:012,19733:36506:53279
FAMILYFLOATER:18 - 24:6:4:014,25052:46346:67640
FAMILYFLOATER:18 - 24:6:4:016,27493:50863:74232
FAMILYFLOATER:18 - 24:6:4:018,30192:55856:81519
FAMILYFLOATER:18 - 24:6:4:020,36769:68022:99276
FAMILYFLOATER:18 - 24:6:4:022,39789:73609:107430
FAMILYFLOATER:25 - 35:2:0:002,5145:9518:13891
FAMILYFLOATER:25 - 35:2:0:004,5772:10678:15585
FAMILYFLOATER:25 - 35:2:0:006,6419:11876:17332
FAMILYFLOATER:25 - 35:2:0:008,7789:14409:21029
FAMILYFLOATER:25 - 35:2:0:010,9253:17118:24983
FAMILYFLOATER:25 - 35:2:0:012,10660:19721:28782
FAMILYFLOATER:25 - 35:2:0:014,14419:26676:38932
FAMILYFLOATER:25 - 35:2:0:016,14765:27315:39865
FAMILYFLOATER:25 - 35:2:0:018,15172:28069:40965
FAMILYFLOATER:25 - 35:2:0:020,26066:48222:70378
FAMILYFLOATER:25 - 35:2:0:022,28080:51948:75816
FAMILYFLOATER:25 - 35:2:1:002,4727:8744:12762
FAMILYFLOATER:25 - 35:2:1:004,5426:10039:14651
FAMILYFLOATER:25 - 35:2:1:006,6139:11358:16576
FAMILYFLOATER:25 - 35:2:1:008,7282:13471:19661
FAMILYFLOATER:25 - 35:2:1:010,8671:16041:23412
FAMILYFLOATER:25 - 35:2:1:012,10015:18527:27040
FAMILYFLOATER:25 - 35:2:1:014,12903:23870:34837
FAMILYFLOATER:25 - 35:2:1:016,13694:25333:36973
FAMILYFLOATER:25 - 35:2:1:018,14626:27058:39491
FAMILYFLOATER:25 - 35:2:1:020,22890:42346:61803
FAMILYFLOATER:25 - 35:2:1:022,24883:46033:67183
FAMILYFLOATER:25 - 35:3:1:002,6602:12213:17825
FAMILYFLOATER:25 - 35:3:1:004,7523:13918:20313
FAMILYFLOATER:25 - 35:3:1:006,8463:15656:22849
FAMILYFLOATER:25 - 35:3:1:008,10265:18989:27714
FAMILYFLOATER:25 - 35:3:1:010,12303:22761:33219
FAMILYFLOATER:25 - 35:3:1:012,14281:26420:38559
FAMILYFLOATER:25 - 35:3:1:014,18719:34630:50541
FAMILYFLOATER:25 - 35:3:1:016,19631:36316:53002
FAMILYFLOATER:25 - 35:3:1:018,20685:38267:55849
FAMILYFLOATER:25 - 35:3:1:020,32173:59520:86867
FAMILYFLOATER:25 - 35:3:1:022,34752:64291:93830
FAMILYFLOATER:25 - 35:3:2:002,6166:11407:16648
FAMILYFLOATER:25 - 35:3:2:004,6996:12943:18889
FAMILYFLOATER:25 - 35:3:2:006,8006:14810:21615
FAMILYFLOATER:25 - 35:3:2:008,9261:17133:25005
FAMILYFLOATER:25 - 35:3:2:010,11227:20769:30312
FAMILYFLOATER:25 - 35:3:2:012,13146:24320:35494
FAMILYFLOATER:25 - 35:3:2:014,16743:30975:45207
FAMILYFLOATER:25 - 35:3:2:016,18105:33494:48884
FAMILYFLOATER:25 - 35:3:2:018,19707:36458:53209
FAMILYFLOATER:25 - 35:3:2:020,28575:52864:77153
FAMILYFLOATER:25 - 35:3:2:022,31133:57596:84059
FAMILYFLOATER:25 - 35:4:2:002,7947:14703:21458
FAMILYFLOATER:25 - 35:4:2:004,8993:16636:24280
FAMILYFLOATER:25 - 35:4:2:006,10226:18919:27611
FAMILYFLOATER:25 - 35:4:2:008,12180:22533:32886
FAMILYFLOATER:25 - 35:4:2:010,14791:27363:39934
FAMILYFLOATER:25 - 35:4:2:012,17339:32077:46816
FAMILYFLOATER:25 - 35:4:2:014,22455:41542:60629
FAMILYFLOATER:25 - 35:4:2:016,23935:44281:64626
FAMILYFLOATER:25 - 35:4:2:018,25636:47426:69216
FAMILYFLOATER:25 - 35:4:2:020,37718:69778:101839
FAMILYFLOATER:25 - 35:4:2:022,40862:75595:110328
FAMILYFLOATER:25 - 35:4:3:002,7178:13279:19380
FAMILYFLOATER:25 - 35:4:3:004,8118:15019:21920
FAMILYFLOATER:25 - 35:4:3:006,9409:17408:25406
FAMILYFLOATER:25 - 35:4:3:008,10946:20250:29554
FAMILYFLOATER:25 - 35:4:3:010,13474:24926:36379
FAMILYFLOATER:25 - 35:4:3:012,15953:29513:43073
FAMILYFLOATER:25 - 35:4:3:014,20113:37210:54306
FAMILYFLOATER:25 - 35:4:3:016,22038:40771:59504
FAMILYFLOATER:25 - 35:4:3:018,24199:44768:65337
FAMILYFLOATER:25 - 35:4:3:020,33630:62216:90801
FAMILYFLOATER:25 - 35:4:3:022,36751:67988:99226
FAMILYFLOATER:25 - 35:5:4:002,8189:15150:22111
FAMILYFLOATER:25 - 35:5:4:004,9242:17098:24953
FAMILYFLOATER:25 - 35:5:4:006,10814:20006:29198
FAMILYFLOATER:25 - 35:5:4:008,12631:23367:34104
FAMILYFLOATER:25 - 35:5:4:010,15720:29083:42445
FAMILYFLOATER:25 - 35:5:4:012,18762:34709:50656
FAMILYFLOATER:25 - 35:5:4:014,23484:43446:63408
FAMILYFLOATER:25 - 35:5:4:016,25971:48047:70123
FAMILYFLOATER:25 - 35:5:4:018,28693:53081:77470
FAMILYFLOATER:25 - 35:5:4:020,38686:71569:104451
FAMILYFLOATER:25 - 35:5:4:022,42368:78380:114393
FAMILYFLOATER:25 - 35:5:3:002,8958:16573:24188
FAMILYFLOATER:25 - 35:5:3:004,10116:18714:27312
FAMILYFLOATER:25 - 35:5:3:006,11631:21517:31403
FAMILYFLOATER:25 - 35:5:3:008,13864:25649:37433
FAMILYFLOATER:25 - 35:5:3:010,17037:31519:46001
FAMILYFLOATER:25 - 35:5:3:012,20147:37273:54398
FAMILYFLOATER:25 - 35:5:3:014,25825:47776:69727
FAMILYFLOATER:25 - 35:5:3:016,27869:51558:75247
FAMILYFLOATER:25 - 35:5:3:018,30128:55736:81345
FAMILYFLOATER:25 - 35:5:3:020,42773:79131:115488
FAMILYFLOATER:25 - 35:5:3:022,46480:85987:125495
FAMILYFLOATER:25 - 35:6:4:002,9970:18444:26918
FAMILYFLOATER:25 - 35:6:4:004,11239:20793:30346
FAMILYFLOATER:25 - 35:6:4:006,13035:24115:35195
FAMILYFLOATER:25 - 35:6:4:008,15549:28766:41983
FAMILYFLOATER:25 - 35:6:4:010,19284:35676:52067
FAMILYFLOATER:25 - 35:6:4:012,22956:42469:61981
FAMILYFLOATER:25 - 35:6:4:014,29196:54012:78829
FAMILYFLOATER:25 - 35:6:4:016,31802:58834:85865
FAMILYFLOATER:25 - 35:6:4:018,34622:64050:93479
FAMILYFLOATER:25 - 35:6:4:020,47829:88484:129139
FAMILYFLOATER:25 - 35:6:4:022,52097:96380:140662
FAMILYFLOATER:36 - 40:2:0:002,5340:9879:14418
FAMILYFLOATER:36 - 40:2:0:004,6012:11122:16232
FAMILYFLOATER:36 - 40:2:0:006,6694:12383:18073
FAMILYFLOATER:36 - 40:2:0:008,8101:14987:21874
FAMILYFLOATER:36 - 40:2:0:010,9600:17759:25919
FAMILYFLOATER:36 - 40:2:0:012,11030:20406:29781
FAMILYFLOATER:36 - 40:2:0:014,14896:27558:40220
FAMILYFLOATER:36 - 40:2:0:016,15262:28234:41207
FAMILYFLOATER:36 - 40:2:0:018,15681:29009:42338
FAMILYFLOATER:36 - 40:2:0:020,38859:71890:104920
FAMILYFLOATER:36 - 40:2:0:022,43321:80144:116967
FAMILYFLOATER:36 - 40:2:1:002,4857:8986:13114
FAMILYFLOATER:36 - 40:2:1:004,5586:10335:15083
FAMILYFLOATER:36 - 40:2:1:006,6324:11699:17074
FAMILYFLOATER:36 - 40:2:1:008,7491:13858:20225
FAMILYFLOATER:36 - 40:2:1:010,8902:16469:24036
FAMILYFLOATER:36 - 40:2:1:012,10262:18985:27708
FAMILYFLOATER:36 - 40:2:1:014,13221:24458:35695
FAMILYFLOATER:36 - 40:2:1:016,14027:25950:37873
FAMILYFLOATER:36 - 40:2:1:018,14964:27684:40404
FAMILYFLOATER:36 - 40:2:1:020,32000:59201:86401
FAMILYFLOATER:36 - 40:2:1:022,35741:66120:96500
FAMILYFLOATER:36 - 40:3:1:002,6801:12582:18364
FAMILYFLOATER:36 - 40:3:1:004,7766:14368:20970
FAMILYFLOATER:36 - 40:3:1:006,8744:16176:23608
FAMILYFLOATER:36 - 40:3:1:008,10584:19581:28577
FAMILYFLOATER:36 - 40:3:1:010,12657:23415:34173
FAMILYFLOATER:36 - 40:3:1:012,14658:27117:39576
FAMILYFLOATER:36 - 40:3:1:014,19205:35529:51853
FAMILYFLOATER:36 - 40:3:1:016,20139:37256:54374
FAMILYFLOATER:36 - 40:3:1:018,21202:39224:57246
FAMILYFLOATER:36 - 40:3:1:020,44979:83211:121443
FAMILYFLOATER:36 - 40:3:1:022,50004:92508:135012
FAMILYFLOATER:36 - 40:3:2:002,6302:11659:17016
FAMILYFLOATER:36 - 40:3:2:004,7162:13249:19336
FAMILYFLOATER:36 - 40:3:2:006,8197:15164:22131
FAMILYFLOATER:36 - 40:3:2:008,9479:17536:25593
FAMILYFLOATER:36 - 40:3:2:010,11468:21216:30964
FAMILYFLOATER:36 - 40:3:2:012,13401:24792:36183
FAMILYFLOATER:36 - 40:3:2:014,17075:31588:46102
FAMILYFLOATER:36 - 40:3:2:016,18451:34134:49817
FAMILYFLOATER:36 - 40:3:2:018,20057:37106:54155
FAMILYFLOATER:36 - 40:3:2:020,37701:69748:101794
FAMILYFLOATER:36 - 40:3:2:022,42006:77711:113415
FAMILYFLOATER:36 - 40:4:2:002,8150:15078:22006
FAMILYFLOATER:36 - 40:4:2:004,9241:17096:24952
FAMILYFLOATER:36 - 40:4:2:006,10513:19449:28385
FAMILYFLOATER:36 - 40:4:2:008,12505:23135:33764
FAMILYFLOATER:36 - 40:4:2:010,15151:28029:40907
FAMILYFLOATER:36 - 40:4:2:012,17724:32789:47854
FAMILYFLOATER:36 - 40:4:2:014,22950:42458:61965
FAMILYFLOATER:36 - 40:4:2:016,24454:45239:66025
FAMILYFLOATER:36 - 40:4:2:018,26162:48400:70637
FAMILYFLOATER:36 - 40:4:2:020,50535:93490:136445
FAMILYFLOATER:36 - 40:4:2:022,56127:103835:151543
FAMILYFLOATER:36 - 40:4:3:002,7313:13529:19745
FAMILYFLOATER:36 - 40:4:3:004,8284:15325:22367
FAMILYFLOATER:36 - 40:4:3:006,9600:17760:25920
FAMILYFLOATER:36 - 40:4:3:008,11163:20651:30140
FAMILYFLOATER:36 - 40:4:3:010,13713:25370:37026
FAMILYFLOATER:36 - 40:4:3:012,16210:29988:43766
FAMILYFLOATER:36 - 40:4:3:014,20444:37821:55198
FAMILYFLOATER:36 - 40:4:3:016,22382:41407:60433
FAMILYFLOATER:36 - 40:4:3:018,24552:45421:66290
FAMILYFLOATER:36 - 40:4:3:020,42756:79098:115441
FAMILYFLOATER:36 - 40:4:3:022,47625:88105:128586
FAMILYFLOATER:36 - 40:5:4:002,8324:15400:22475
FAMILYFLOATER:36 - 40:5:4:004,9408:17404:25400
FAMILYFLOATER:36 - 40:5:4:006,11005:20359:29712
FAMILYFLOATER:36 - 40:5:4:008,12848:23768:34689
FAMILYFLOATER:36 - 40:5:4:010,15960:29526:43092
FAMILYFLOATER:36 - 40:5:4:012,19018:35184:51349
FAMILYFLOATER:36 - 40:5:4:014,23815:44058:64300
FAMILYFLOATER:36 - 40:5:4:016,26315:48683:71051
FAMILYFLOATER:36 - 40:5:4:018,29046:53735:78423
FAMILYFLOATER:36 - 40:5:4:020,47811:88451:129091
FAMILYFLOATER:36 - 40:5:4:022,53242:98498:143753
FAMILYFLOATER:36 - 40:5:3:002,9161:16947:24734
FAMILYFLOATER:36 - 40:5:3:004,10364:19174:27983
FAMILYFLOATER:36 - 40:5:3:006,11916:22045:32174
FAMILYFLOATER:36 - 40:5:3:008,14189:26250:38311
FAMILYFLOATER:36 - 40:5:3:010,17396:32183:46970
FAMILYFLOATER:36 - 40:5:3:012,20532:37984:55436
FAMILYFLOATER:36 - 40:5:3:014,26320:48692:71064
FAMILYFLOATER:36 - 40:5:3:016,28385:52512:76639
FAMILYFLOATER:36 - 40:5:3:018,30657:56716:82774
FAMILYFLOATER:36 - 40:5:3:020,55591:102843:150095
FAMILYFLOATER:36 - 40:5:3:022,61745:114229:166712
FAMILYFLOATER:36 - 40:6:4:002,10172:18818:27465
FAMILYFLOATER:36 - 40:6:4:004,11488:21252:31017
FAMILYFLOATER:36 - 40:6:4:006,13321:24644:35967
FAMILYFLOATER:36 - 40:6:4:008,15874:29367:42861
FAMILYFLOATER:36 - 40:6:4:010,19643:36340:53036
FAMILYFLOATER:36 - 40:6:4:012,23341:43180:63020
FAMILYFLOATER:36 - 40:6:4:014,29691:54928:80165
FAMILYFLOATER:36 - 40:6:4:016,32318:59787:87257
FAMILYFLOATER:36 - 40:6:4:018,35151:65029:94908
FAMILYFLOATER:36 - 40:6:4:020,60646:112196:163745
FAMILYFLOATER:36 - 40:6:4:022,67363:124621:181880
